from,to,weight
mhuggins,steveklabnik,7
steveklabnik,rubys,4
neerajdotname,yahonda,2
steveklabnik,cfabianski,2
cfabianski,josevalim,2
jeremy,prathamesh-sonpatki,1
jeremy,drchanimal,3
senny,neilhem,4
neilhem,steveklabnik,2
neilhem,Agis-,2
senny,aprok80,1
aprok80,rubys,1
rubys,neilhem,1
neilhem,rafaelfranca,2
jcoyne,steveklabnik,3
senny,awakia,2
awakia,egilburg,1
egilburg,georgedrummond,1
georgedrummond,senny,1
awakia,georgedrummond,3
rafaelfranca,alex88,2
Agis-,steveklabnik,3
steveklabnik,elfassy,1
elfassy,egilburg,2
elfassy,carlosantoniodasilva,1
rafaelfranca,hbakhtiyor,1
robertomiranda,rafaelfranca,2
senny,AlfonsoUceda,1
NARKOZ,btaitelb,2
pixeltrix,mcrowe,2
mcrowe,Agis-,1
Agis-,dmathieu,1
senny,andyparkinson,1
bradleypriest,carlosantoniodasilva,1
carlosantoniodasilva,niuage,1
carlosantoniodasilva,darnreich,4
wangjohn,senny,6
parndt,hbakhtiyor,1
czak,rafaelfranca,1
senny,tjormola,1
tjormola,pixeltrix,4
Agis-,wangjohn,2
jeremy,danielribeiro,1
danielribeiro,carlosantoniodasilva,2
rafaelfranca,tdl,3
tdl,carlosantoniodasilva,1
rmm5t,carlosantoniodasilva,3
trisweb,rmm5t,1
carlosantoniodasilva,sinobra,1
sinobra,pixeltrix,1
subwindow,zacheryph,1
zacheryph,senny,1
steveklabnik,adamschmidt,2
frodsan,fxn,3
steveklabnik,smathy,2
smathy,carlosantoniodasilva,1
matthewrobertson,pixeltrix,1
pixeltrix,jcoglan,3
pixeltrix,gaurish,1
senny,MikeSilvis,4
rafaelfranca,NARKOZ,18
NARKOZ,rubys,2
rubys,dhh,8
dhh,dmathieu,1
dmathieu,rubys,1
senny,hbakhtiyor,4
thenickcox,senny,2
hbakhtiyor,carlosantoniodasilva,3
chastell,senny,1
senny,chrmod,1
chrmod,chastell,1
carlosantoniodasilva,choudhuryanupam,4
senny,sikachu,10
senny,rosenfeld,6
rubys,vipulnsward,1
kastiglione,vipulnsward,1
pixeltrix,kastiglione,1
kastiglione,steveklabnik,2
kastiglione,tenderlove,2
carlosantoniodasilva,thenickcox,3
thenickcox,steveklabnik,2
steveklabnik,isabanin,1
isabanin,chrisledet,1
chrisledet,steveklabnik,1
pixeltrix,jamesgolick,1
jamesgolick,spastorino,1
spastorino,jonleighton,1
heelhook,chrismccord,1
chrismccord,assimovt,1
assimovt,qrush,1
qrush,ejholmes,1
ejholmes,amiel,1
amiel,josevalim,1
josevalim,buddhamagnet,1
buddhamagnet,reinh,1
reinh,gregmolnar,1
gregmolnar,chrismccord,1
chrismccord,aviflombaum,1
aviflombaum,rafaelfranca,1
rafaelfranca,mhenrixon,2
mhenrixon,heimidal,1
heimidal,mattdbridges,1
mattdbridges,DevL,1
DevL,bai,1
bai,steveklabnik,3
steveklabnik,ekampp,5
ekampp,KurtPreston,1
KurtPreston,liufengyun,1
liufengyun,ekampp,1
dmathieu,mbhnyc,1
mbhnyc,wangjohn,5
wangjohn,dmathieu,2
rafaelfranca,tadast,4
senny,cconstantine,4
guilleiguaran,cheba,1
cheba,thedarkone,1
thedarkone,dahakawang,1
dahakawang,cheba,1
wangjohn,thedarkone,3
thedarkone,fenelon,1
carlosantoniodasilva,nateberkopec,1
nateberkopec,senny,3
rafaelfranca,bchalstrom-iseatz,2
josevalim,benmcredmond,1
benmcredmond,rafaelfranca,4
steveklabnik,yasirs,1
yasirs,rafaelfranca,8
trevorturk,rafaelfranca,3
spastorino,choudhuryanupam,5
choudhuryanupam,steveklabnik,2
steveklabnik,anupamc,2
carlosantoniodasilva,sognat,1
sognat,rafaelfranca,2
sognat,pixeltrix,3
rafaelfranca,khoan,1
khoan,georgedrummond,1
jeremy,orend,1
ichabodcole,rafaelfranca,1
kennyj,nertzy,2
wangjohn,ace,2
neerajdotname,ginter,1
ginter,senny,1
senny,jwinter,2
rafaelfranca,pwnall,15
rafaelfranca,choudhuryanupam,11
sharnik,homakov,1
homakov,rafaelfranca,6
rafaelfranca,cheba,1
neerajdotname,tkhr,2
steveklabnik,charliesome,9
charliesome,dsabanin,1
dsabanin,jeremy,2
steveklabnik,sergiocampama,2
steveklabnik,kiela,1
kiela,sergiocampama,1
neerajdotname,mikz,1
mikz,jonleighton,2
steveklabnik,xke,3
rafaelfranca,dsabanin,1
guilleiguaran,dahakawang,1
dahakawang,rafaelfranca,1
spastorino,dahakawang,1
dahakawang,raggi,1
theotherzach,AaronLasseigne,2
schneems,leandronsp,1
leandronsp,vipulnsward,5
jm,jeremy,1
sikachu,prathamesh-sonpatki,1
kiela,ysbaddaden,1
senny,stouset,2
stouset,pixeltrix,1
steveklabnik,trevorturk,6
trevorturk,jeremy,12
trevorturk,spastorino,6
jeremy,NZKoz,2
NZKoz,vovimayhem,1
mmangino,egilburg,2
vipulnsward,yahonda,1
yahonda,kennyj,6
theotherzach,steveklabnik,1
rafaelfranca,kenmazaika,11
carlosantoniodasilva,obrie,2
obrie,route,1
route,carlosantoniodasilva,4
divoxx,neerajdotname,1
fredwu,jalkoby,1
jalkoby,senny,1
steveklabnik,mrb,1
mrb,tenderlove,1
senny,pinbot,2
pinbot,nielmalhotra,2
fredwu,carlosantoniodasilva,5
neerajdotname,ekampp,12
ekampp,LTe,4
ekampp,pawelpacana,1
pawelpacana,neerajdotname,1
LTe,neerajdotname,4
rafaelfranca,antoinelyset,3
zolzaya,rafaelfranca,1
senny,Javix,3
Javix,killthekitten,2
stouset,rafaelfranca,5
senny,jlxw,1
jeremy,jacobo,2
jacobo,steveklabnik,1
jeremy,danmcclain,6
jeremy,stouset,1
stouset,danmcclain,3
rafaelfranca,le0pard,10
le0pard,carlosantoniodasilva,2
neerajdotname,benmoss,3
sikachu,ozpos,1
ozpos,senny,11
ozpos,steveklabnik,2
senny,MasterLambaster,2
senny,igor-alexandrov,1
igor-alexandrov,nbenavi,1
rafaelfranca,kentaro,2
kentaro,fxn,3
jeremy,spastorino,18
carlosantoniodasilva,DanOlson,1
DanOlson,jonleighton,1
alexeymuranov,jeremy,4
carlosantoniodasilva,macksmind,8
jeremy,egjiri,1
egjiri,rafaelfranca,4
kennyj,marclennox,2
robertomiranda,Tzleoo,1
Tzleoo,bradleypriest,1
bradleypriest,steveklabnik,1
senny,brocktimus,5
brocktimus,rafaelfranca,2
jonleighton,brocktimus,1
schneems,xenda,1
xenda,jeremy,1
Intrepidd,jeremy,3
bradleypriest,marcamillion,4
steveklabnik,kagemusha,3
kagemusha,kennyj,3
steveklabnik,fredwu,8
josevalim,gkop,1
gkop,rafaelfranca,7
gkop,jeremy,2
jeremy,guilleiguaran,15
guilleiguaran,thelucid,1
thelucid,rafaelfranca,10
jherdman,macksmind,1
macksmind,egilburg,2
rafaelfranca,macksmind,12
claudiob,neerajdotname,1
khustochka,dhh,1
steveklabnik,quinn,1
jeremy,mhuggins,2
mhuggins,Intrepidd,1
Intrepidd,wangjohn,6
wangjohn,mhuggins,2
dvandersluis,senny,1
jeremy,donpdonp,1
sadjow,senny,3
rafaelfranca,erlingur,1
rafaelfranca,miry,2
tenderlove,macksmind,1
jeremy,arunagw,3
sikachu,indirect,1
indirect,thelucid,6
thelucid,jeremy,2
indirect,mislav,1
mislav,stouset,1
stouset,carlosantoniodasilva,1
Agis-,indirect,2
elektronaut,CraigAPayne,1
neerajdotname,guilleiguaran,1
carlosantoniodasilva,Intrepidd,1
hoffm,grant-olson,2
hoffm,jeremy,2
hoffm,krosaen,1
krosaen,schneems,3
schneems,tomrossi7,1
tomrossi7,hoffm,3
carlosantoniodasilva,andriytyurnikov,1
andriytyurnikov,parndt,1
senny,andriytyurnikov,3
thelucid,carlosantoniodasilva,4
thelucid,senny,2
wzcolon,pftg,1
rafaelfranca,adamhunter,2
adamhunter,mischa78,1
mischa78,rafaelfranca,1
adamhunter,bodrovis,1
bodrovis,pftg,1
